iter	Passed	Remaining
673	4317	2088
674	4321	2080
675	4324	2072
676	4336	2068
677	4340	2061
678	4344	2053
679	4350	2047
680	4355	2040
681	4359	2032
682	4362	2024
683	4368	2018
684	4371	2010
685	4376	2003
686	4379	1995
687	4385	1988
688	4389	1981
689	4392	1973
690	4398	1966
691	4402	1959
692	4407	1952
693	4410	1944
694	4416	1938
695	4420	1931
696	4424	1923
697	4429	1916
698	4434	1909
699	4437	1901
700	4441	1894
701	4444	1886
702	4450	1880
703	4453	1872
704	4456	1864
705	4459	1857
706	4463	1849
707	4467	1842
708	4470	1834
709	4473	1827
710	4476	1819
711	4481	1812
712	4484	1805
713	4487	1797
714	4491	1790
715	4494	1782
716	4498	1775
717	4502	1768
718	4505	1760
719	4508	1753
720	4511	1745
721	4517	1739
722	4520	1731
723	4523	1724
724	4526	1717
725	4531	1710
726	4534	1702
727	4537	1695
728	4540	1687
729	4544	1680
730	4548	1673
731	4551	1666
732	4554	1659
733	4558	1651
734	4562	1645
735	4566	1637
736	4569	1630
737	4572	1623
738	4576	1616
739	4581	1609
740	4584	1602
741	4587	1595
742	4590	1587
743	4594	1581
744	4598	1574
745	4602	1566
746	4605	1559
747	4608	1552
748	4614	1546
749	4617	1539
750	4620	1532
751	4623	1524
752	4629	1518
753	4633	1511
754	4636	1504
755	4639	1497
756	4646	1491
757	4649	1484
758	4652	1477
759	4655	1470
760	4658	1463
761	4663	1456
762	4667	1449
763	4670	1442
764	4673	1435
765	4678	1429
766	4682	1422
767	4685	1415
768	4688	1408
769	4693	1401
770	4697	1395
771	4700	1388
772	4703	1381
773	4707	1374
774	4711	1367
775	4715	1361
776	4718	1354
777	4721	1347
778	4727	1341
779	4732	1334
780	4737	1328
781	4746	1323
782	4751	1316
783	4756	1310
784	4763	1304
785	4768	1298
786	4773	1291
787	4779	1285
788	4782	1279
789	4786	1272
790	4791	1266
791	4796	1259
792	4801	1253
793	4807	1247
794	4812	1240
795	4816	1234
796	4819	1227
797	4827	1222
798	4831	1215
799	4835	1208
800	4842	1203
801	4848	1197
802	4853	1190
803	4860	1184
804	4865	1178
805	4870	1172
806	4880	1167
807	4884	1160
808	4888	1154
809	4893	1147
810	4897	1141
811	4901	1134
812	4906	1128
813	4911	1122
814	4914	1115
815	4917	1108
816	4922	1102
817	4926	1096
818	4930	1089
819	4933	1082
820	4937	1076
821	4942	1070
822	4946	1063
823	4949	1057
824	4952	1050
825	4955	1043
826	4960	1037
827	4963	1031
828	4966	1024
829	4970	1018
830	4974	1011
831	4978	1005
832	4981	998
833	4984	992
834	4988	985
835	4992	979
836	4995	972
837	4998	966
838	5002	959
839	5006	953
840	5010	947
841	5013	940
842	5016	934
843	5021	928
844	5025	921
845	5028	915
846	5031	908
847	5035	902
848	5039	896
849	5042	889
850	5046	883
851	5048	877
852	5053	870
853	5057	864
854	5060	858
855	5063	851
856	5066	845
857	5073	839
858	5076	833
859	5079	826
